"store_id","customer","amount","payment_date","staff","manager_staff_id"
1,"Peter Menard","7.99","2007-02-15 22:25:46.996577","Jon Stephens",2
1,"Peter Menard","1.99","2007-02-16 17:23:14.996577","Mike Hillyer",1
1,"Peter Menard","7.99","2007-02-16 22:41:45.996577","Mike Hillyer",1
1,"Peter Menard","2.99","2007-02-19 19:39:56.996577","Jon Stephens",2
1,"Peter Menard","7.99","2007-02-20 17:31:48.996577","Jon Stephens",2
1,"Peter Menard","5.99","2007-02-21 12:33:49.996577","Mike Hillyer",1
1,"Harold Martino","5.99","2007-02-17 23:58:17.996577","Jon Stephens",2
1,"Harold Martino","5.99","2007-02-20 02:11:44.996577","Mike Hillyer",1
1,"Harold Martino","2.99","2007-02-20 13:57:39.996577","Mike Hillyer",1
1,"Douglas Graf","4.99","2007-02-16 00:10:50.996577","Jon Stephens",2
1,"Douglas Graf","6.99","2007-02-16 01:15:33.996577","Mike Hillyer",1
1,"Douglas Graf","0.99","2007-02-17 01:26:00.996577","Jon Stephens",2
1,"Douglas Graf","0.99","2007-02-17 04:32:51.996577","Jon Stephens",2
1,"Douglas Graf","6.99","2007-02-18 18:26:38.996577","Jon Stephens",2
1,"Douglas Graf","8.99","2007-02-20 07:03:29.996577","Mike Hillyer",1
1,"Douglas Graf","0.99","2007-02-21 14:42:28.996577","Mike Hillyer",1
1,"Henry Billingsley","3.99","2007-02-15 10:54:44.996577","Mike Hillyer",1
1,"Henry Billingsley","4.99","2007-02-15 19:36:27.996577","Jon Stephens",2
1,"Henry Billingsley","0.99","2007-02-16 14:00:38.996577","Mike Hillyer",1
1,"Carl Artis","0.99","2007-02-15 01:26:17.996577","Jon Stephens",2
1,"Carl Artis","4.99","2007-02-15 18:34:15.996577","Mike Hillyer",1
1,"Carl Artis","0.99","2007-02-16 00:27:01.996577","Jon Stephens",2
1,"Carl Artis","4.99","2007-02-19 16:13:41.996577","Jon Stephens",2
1,"Arthur Simpkins","5.99","2007-02-17 09:35:32.996577","Mike Hillyer",1
1,"Arthur Simpkins","2.99","2007-02-21 12:02:45.996577","Jon Stephens",2
1,"Arthur Simpkins","2.99","2007-02-21 15:51:24.996577","Mike Hillyer",1
2,"Ryan Salisbury","8.99","2007-02-16 12:40:18.996577","Jon Stephens",2
2,"Ryan Salisbury","0.99","2007-02-18 04:59:41.996577","Jon Stephens",2
2,"Ryan Salisbury","4.99","2007-02-20 10:16:26.996577","Mike Hillyer",1
2,"Ryan Salisbury","8.99","2007-02-20 14:33:08.996577","Mike Hillyer",1
2,"Ryan Salisbury","7.99","2007-02-21 07:33:16.996577","Mike Hillyer",1
2,"Roger Quintanilla","2.99","2007-02-16 08:11:14.996577","Mike Hillyer",1
2,"Roger Quintanilla","8.99","2007-02-17 12:47:26.996577","Mike Hillyer",1
2,"Roger Quintanilla","0.99","2007-02-18 21:30:02.996577","Jon Stephens",2
2,"Joe Gilliland","2.99","2007-02-15 00:11:12.996577","Mike Hillyer",1
2,"Joe Gilliland","0.99","2007-02-15 22:47:06.996577","Mike Hillyer",1
2,"Joe Gilliland","6.99","2007-02-20 07:24:16.996577","Jon Stephens",2
2,"Joe Gilliland","8.99","2007-02-20 12:27:47.996577","Mike Hillyer",1
1,"Juan Fraley","3.99","2007-02-17 10:24:35.996577","Jon Stephens",2
1,"Juan Fraley","0.99","2007-02-19 06:31:38.996577","Mike Hillyer",1
1,"Juan Fraley","2.99","2007-02-20 13:42:06.996577","Mike Hillyer",1
1,"Juan Fraley","0.99","2007-02-20 23:08:05.996577","Jon Stephens",2
1,"Jack Foust","5.99","2007-02-16 18:33:16.996577","Jon Stephens",2
1,"Jack Foust","0.99","2007-02-17 00:36:26.996577","Mike Hillyer",1
1,"Jack Foust","2.99","2007-02-19 15:38:50.996577","Mike Hillyer",1
1,"Albert Crouse","0.99","2007-02-15 20:26:26.996577","Mike Hillyer",1
1,"Albert Crouse","4.99","2007-02-16 07:48:59.996577","Mike Hillyer",1
1,"Albert Crouse","4.99","2007-02-16 09:36:54.996577","Mike Hillyer",1
1,"Albert Crouse","4.99","2007-02-16 17:40:11.996577","Mike Hillyer",1
1,"Albert Crouse","4.99","2007-02-21 08:06:19.996577","Jon Stephens",2
1,"Jonathan Scarborough","2.99","2007-02-15 11:58:56.996577","Jon Stephens",2
1,"Jonathan Scarborough","7.99","2007-02-17 05:16:57.996577","Jon Stephens",2
1,"Jonathan Scarborough","6.99","2007-02-21 01:07:57.996577","Jon Stephens",2
2,"Justin Ngo","0.99","2007-02-15 20:16:44.996577","Mike Hillyer",1
2,"Justin Ngo","4.99","2007-02-18 04:59:55.996577","Mike Hillyer",1
2,"Justin Ngo","6.99","2007-02-19 16:20:40.996577","Mike Hillyer",1
2,"Justin Ngo","2.99","2007-02-20 18:13:11.996577","Mike Hillyer",1
2,"Terry Grissom","0.99","2007-02-15 20:08:20.996577","Jon Stephens",2
2,"Terry Grissom","2.99","2007-02-16 05:20:31.996577","Mike Hillyer",1
2,"Gerald Fultz","0.99","2007-02-15 15:28:12.996577","Mike Hillyer",1
2,"Gerald Fultz","2.99","2007-02-18 15:05:04.996577","Mike Hillyer",1
2,"Gerald Fultz","4.99","2007-02-18 16:38:43.996577","Mike Hillyer",1
1,"Keith Rico","5.99","2007-02-15 03:39:45.996577","Jon Stephens",2
1,"Keith Rico","1.99","2007-02-16 18:15:44.996577","Mike Hillyer",1
1,"Keith Rico","1.99","2007-02-17 07:52:25.996577","Jon Stephens",2
1,"Keith Rico","6.99","2007-02-17 21:26:30.996577","Jon Stephens",2
2,"Samuel Marlow","2.99","2007-02-15 18:19:32.996577","Mike Hillyer",1
2,"Samuel Marlow","0.99","2007-02-17 03:39:02.996577","Jon Stephens",2
2,"Samuel Marlow","5.99","2007-02-17 18:28:51.996577","Mike Hillyer",1
2,"Samuel Marlow","2.99","2007-02-19 13:21:50.996577","Mike Hillyer",1
2,"Samuel Marlow","2.99","2007-02-19 14:56:01.996577","Mike Hillyer",1
2,"Samuel Marlow","2.99","2007-02-21 01:34:37.996577","Mike Hillyer",1
2,"Willie Markham","4.99","2007-02-15 09:53:32.996577","Jon Stephens",2
2,"Willie Markham","1.99","2007-02-16 16:36:21.996577","Jon Stephens",2
2,"Willie Markham","0.99","2007-02-18 14:50:29.996577","Mike Hillyer",1
2,"Willie Markham","4.99","2007-02-19 14:11:46.996577","Mike Hillyer",1
2,"Ralph Madrigal","0.99","2007-02-15 20:17:01.996577","Jon Stephens",2
2,"Ralph Madrigal","6.99","2007-02-18 14:53:11.996577","Jon Stephens",2
2,"Ralph Madrigal","3.99","2007-02-19 00:36:36.996577","Jon Stephens",2
2,"Ralph Madrigal","6.99","2007-02-19 16:47:59.996577","Jon Stephens",2
2,"Lawrence Lawton","4.99","2007-02-18 11:21:51.996577","Jon Stephens",2
